accident_id,occr_date,daynight,wday,assault,damaged,assault_id,damaged_id,location_id,violation_id,road_type_l_id,road_type_id,acc_type_l_id,acc_type_id,acc_type_id,acc_type_l_id,acc_type,acc_type_l_id,acc_type_l,assault_id,assault,accident_id,death,serious,injured,slight,wound,damaged_id,damaged,violation_id,violation,road_type_id,road_type_l_id,road_form,road_type_l_id,road_form_l,accident_id,assault_id,damaged_id,location_id,sido,sgg,weather_id,area_id,area_nm,measure_dt,temperature,rainfall,wind_speed,wind_direction,humidity,snow_drifts,ground_temperature
26617,00:00.0,2,일,승용차,보행자,10,1,157,20,5,16,4,15,15,2,기타,4,차대사람,10,승용차,26617,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,16,5,횡단보도부근,5,단일로,26617,10,1,157,대구,대구,236917,143,대구,00:00.0,-4.9,0,3.5,290,37,0,-4.7
25704,00:00.0,2,월,승용차,보행자,10,1,40,20,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,25704,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25704,10,1,40,전북,전주,238166,146,전주,00:00.0,4.1,0,0.8,140,51,0,0.7
27721,00:00.0,2,수,승용차,자전거,10,6,40,2,5,6,3,18,18,3,측면직각충돌,3,차대차,10,승용차,27721,1,1,0,0,0,6,자전거,2,신호위반,6,5,기타단일로,5,단일로,27721,10,6,40,전북,전주,241909,146,전주,00:00.0,26.3,0.5,1.7,20,90,0,27.2
23830,00:00.0,2,목,승용차,0,10,17,125,20,5,6,2,2,2,2,전도전복,2,차량단독,10,승용차,23830,2,3,1,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,23830,10,17,125,울산,울산,248871,152,울산,00:00.0,15.5,0,1.9,320,85,0,15.1
31275,00:00.0,2,목,자전거,0,9,17,125,20,5,6,2,15,15,2,기타,2,차량단독,9,자전거,31275,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,31275,9,17,125,울산,울산,251386,152,울산,00:00.0,25.7,5,2.2,110,89,0,25.5
26127,00:00.0,2,수,승용차,보행자,10,1,125,20,1,11,4,15,15,2,기타,4,차대사람,10,승용차,26127,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,11,1,교차로부근,1,교차로,26127,10,1,125,울산,울산,253210,152,울산,00:00.0,11.7,0,2.5,110,29,0,8.7
25318,00:00.0,2,목,승용차,보행자,10,1,125,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,25318,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25318,10,1,125,울산,울산,253234,152,울산,00:00.0,9.8,0,3.3,50,22,0,6.6
23015,00:00.0,2,금,승용차,보행자,10,1,76,20,5,6,4,16,16,4,차도통행중,4,차대사람,10,승용차,23015,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,23015,10,1,76,경남,창원,258181,155,창원,00:00.0,18,0,0.3,0,76,0,17.4
25448,00:00.0,2,일,승용차,승용차,10,16,76,3,5,6,3,5,5,3,정면충돌,3,차대차,10,승용차,25448,1,2,1,0,0,16,승용차,3,중앙선 침범,6,5,기타단일로,5,단일로,25448,10,16,76,경남,창원,263100,155,창원,00:00.0,8.5,0,1.4,340,61,0,4.4
24891,00:00.0,1,수,승용차,승용차,10,16,68,16,5,4,3,10,10,3,진행중 추돌,3,차대차,10,승용차,24891,1,7,3,3,0,16,승용차,16,과속,4,5,교량위,5,단일로,24891,10,16,68,광주,광주,263885,156,광주,00:00.0,7.9,0,0.5,20,59,0,7.9
